event_index,event_title,core_objective,canon_attributes,event_text_verbatim
0,Billy arrives and cuts his palm,Billy's arrival at the isolated vacation lodge and introduce a blood-triggered supernatural anomaly when his cut palm bleeds and the blood vanishes on contact with the dirt.,"Location: an old vacation lodge in a tangled California forest | Characters present: Billy Cruz (29) arrives alone in a rental car | Persistent conditions: Billy wears a half-zipped hoodie over a worn unexplained YouTube t-shirt; long hair tied back under a black bandana; scruffy appearance, Billy’s blood drops from the cut; one drop hits the dirt and vanishes with no trace, Billy removes his black bandana and wraps his injured hand with it | Objects: A rusted gate blocks the gravel drive with a faded “NO TRESPASSING” sign on the iron bars, Billy yanks at the gate’s rusted lock and is sliced on a jagged edge, cutting his palm, A large black crow watches and tracks Billy with unblinking eyes | Other: Billy has a heavy gear bag and carries it as he starts walking toward the lodge","An old VACATION LODGE looms in the tangled California forest. Wind slices through overgrown brush. A rusted GATE blocks the gravel drive, a faded “NO TRESPASSING” sign flapping against iron bars.
A rental car grinds to a stop along the dirt shoulder.
BILLY CRUZ (29) climbs out—hoodie half-zipped over a worn paranormal YouTube tee, long hair tied back under a black bandana. Scruffy. Unimpressed.
He yanks at the gate’s lock—rusted shut. It doesn’t move. A jagged edge SLICES his palm. Blood drops. A single drop hits the dirt—and VANISHES. No trace. Billy rips the bandana from his head and wraps his hand.
BILLY
(grimacing)
Nothing says horror stream like tetanus.
He shoulders his heavy gear bag and starts the long walk. The LARGE BLACK CROW tracks him with unblinking eyes."
1,Billy enters and goes live,"Billy enters the boarded lodge, rigs it for a livestream, and initiates the live broadcast, ending with the first clear sign of an unnatural disturbance inside the house.","Persistent conditions: Billy has a bloody wrap on his hand and tightens it before proceeding | Objects: Billy unlocks and enters through the boarded front door; the door creaks and closes behind him, Billy checks a sat phone showing one bar of signal, Billy texts Wesley ing the dead zone, that the house is rigged and live, and that the main gate is rusted shut, Billy has a pack, zips it, and heads toward the front door to leave | Environmental conditions: Billy stages the house with livestream scare/production equipment (trip scares, fog machines, lighting effects), A disturbance begins: lights flicker, temperature drops sharply, and a high-frequency whine emanates from the walls | Other: Billy uses a headlamp for illumination and turns it on inside the house, The interior air is cold and stale upon entry, Billy uses a rugged iPad with a jet-black touchscreen UI to control the setup and taps “go live”","Moments later, Billy unlocks the boarded front door. It CREAKS open. He pauses. Tightens the bloody wrap on his hand. Steps inside. A cold blast of stale air.
He flicks on his HEADLAMP. The door CREAKS closed behind him.
BILLY STAGES THE HOUSE FOR THE LIVESTREAM LATER THAT NIGHT – TRIP SCARES – FOG MACHINES – LIGHTING EFFECTS – THE WORKS.
He swipes through a jet-black touchscreen on a rugged Ipad UI: toggles, feed windows, diagnostics and taps the pulsing icon “go live”. The house comes to life.
Billy checks his SAT PHONE—one bar. Then texts Wesley.
BILLY
“Wes dead zone as advertised. House is rigged and live. Creepiest fuckin’ gig yet. Gonna scare the shit outta those kids. Main gate’s rusted shut. Enjoy the hike.”
He zips his pack and heads toward the front door. Then— lights flicker, a sharp DROP in temperature, as a high-frequency WHINE bleeds from the walls."
2,"Scream, blackout, and something hits","a sudden blackout coincides with an unseen hits near Billy, marked by Atramentus spreading and immediate violent sounds, then abrupt silence.","Persistent conditions: Atramentus is explicitly named and framed as having tasted blood | Environmental conditions: A distant scream is heard from upstairs, A total blackout occurs; all power is dead, The sound of something heavy being dragged across the floor is heard, The moment ends in silence | Other: Billy is present and uses a headlamp, Billy raises the headlamp and sees a black ink stain spreading across the wallpaper like veins, Billy’s headlamp sputters out, A metallic snap is heard, A dry, ragged inhale is heard nearby, A visceral crunch is heard very close","DISTANT SCREAM upstairs. BLACKOUT. All power dead. Silence.
Billy slowly raises his headlamp. Across the wallpaper, a BLACK INK STAIN spreads outward like veins. Atramentus has tasted blood.
His headlamp sputters out. A metallic SNAP. A dry, ragged inhale. A visceral CRUNCH, too close. The sound of something heavy being dragged across the floor. Then silence"
3,Wesley vlogs drive to Red Hallow,"Wesley and Kelly's arrival run-up to Red Hallow as a livestreamed “Session Zero,” while ing that Wesley has pre-rigged the experience via Billy and that Kelly is unsettled by the lack of signal and the staged setup.","Characters present: Wesley Craven Wise (27) rides in the passenger seat (shotgun) and is being recorded by a mounted vlogging camera, Kelly Shear (23) is driving the SUV | Objects: Wesley addresses his audience on-camera, introducing Red Hallow and calling it “Session Zero,” and says they will play D&D in the condemned/cursed lodge on September thirteenth, Kelly has a glitching sat phone in her lap and reports navigation is dead, no signal, and even satellite is failing, Wesley says Billy described the place as the creepiest he has ever rigged, Kelly reacts with surprise on learning Billy rigs houses ahead of time, Wesley states Billy is his “secret sauce” and that the setup is turnkey, including cameras, fog, and jump scares | Environmental conditions: A sleek black Audi SUV drives down an overgrown dirt road in heavy mist/fog at night | Other: Wesley states that thirteen years ago the Miller family were butchered at the lodge while on vacation, with no suspects and no answers, Kelly shows unease and becomes quieter while looking at the dead satellite feed","Headlights slice through the mist as a sleek black AUDI SUV crawls down the overgrown dirt road.
WESLEY CRAVEN WISE (27) rides shotgun. Curated chaos and too-good lighting, every grin engineered for reaction clips. Tossed hair. Designer jacket. Minimalist tee that screams ""casual, but rich.""
A mounted vlogging cam records him. He flips on the influencer smile.
WESLEY
(to camera)
What’s up, weirdos. Tonight’s the one. Red Hallow.
Condemned. Cursed. Thirteen years ago, the Millers were butchered while on vacation in this lodge. No suspects. No answers. And tonight, September thirteenth, we’re bringing you something new. D&D in a fucking murder house. So hit that like button, drop your bets in chat, and let’s roll.
He swings the camera toward the foggy road.
WESLEY (V.O.)
Welcome to Red Hallow.
Welcome to Session Zero.
Driving, KELLY SHEAR (23). Layered thrift-store comfort and quiet defiance. Pale. Watchful. Glitching SAT PHONE in her lap. Her eyes stay on the screen—but track everything.
KELLY
Nav’s dead. No signal. Even satellite’s choking.
WESLEY
Billy said it’s the creepiest place he’s ever rigged.
KELLY
(surprised)
He… rigs the houses ahead of time?
Wesley grins at her reaction, a little smug.
WESLEY
Yeah. Guy’s my secret sauce. Whole setup’s turnkey. Cameras, fog, jump scares, you name it.
Kelly hides a flicker of unease. She didn’t know. She stares back at the dead SAT feed, quieter now."
4,Gate is open; they arrive at lodge,"Wesley and Kelly reach the lodge under overtly supernatural signs, including Kelly's ticking fractured pocket watch and the lodge opening its own front door.","Objects: Fog is thick as their SUV reaches an iron gate that is now wide open, Kelly is holding an old fractured pocket watch that is ticking, The pocket watch shows 9:13, A black crow perches on the railing, watching, with red-glinting eyes, A shadow shifts behind a cracked second-floor window, watching, Wesley uses a flashlight under his chin and addresses a camera, The lodge’s front door groans open on its own | Environmental conditions: Billy’s rental car is present, abandoned in the fog, Wesley and Kelly arrive at a rotting three-story lodge with flickering veranda lights, They park and the cold air and mist cause their breath to fog the inside of the windshield | Other: Wesley notices something in Kelly’s hand, Wesley and Kelly each carry a gear bag as they exit the SUV","The fog thickens as the SUV reaches the iron gate—once rusted shut. Now, WIDE OPEN. They pass Billy’s rental car, abandoned in the fog. Oblivious. The lodge emerges. Three stories of skeletal rot, vines clinging like veins. Veranda lights choke and flicker.
Moments later, they park. Cold air presses in. Mist curls across the windshield, as their BREATH fog the inside glass. Wesley clocks something in Kelly’s hand.
WESLEY
You brought your spirit guide?
Kelly opens her palm—an OLD POCKET WATCH. Fractured. Ticking.
KELLY
He always follows.
TICK. TICK. 9:13.
He smirks, but it’s brittle.
WESLEY
Your ghost story, huh?
KELLY
I’ve told you what I can.
(beat, quiet)
Not everything.
They climb out of the SUV, each carrying a gear bag. A BLACK CROW perches on the railing. Still. Watching. Its eyes glint red.
Kelly pauses, looks up— A SHADOW shifts behind a cracked second, floor window. Still. Watching.
Wesley flips the flashlight beneath his chin, grinning for the camera.
WESLEY
(to camera)
Let’s go talk to some spirits.
The front door GROANS open—on its own."
5,Friends drive and talk about Lucy,the group's bond and the emotional unease around Jaxton ignoring Lucy's calls on their anniversary as they drive toward the lodge.,"Characters present: Maverick Thomas (18) is driving; wearing a backwards cap, Holly Stanton (18) is in the front passenger seat; eyeliner and combat boots, Lucas Bosse (17) is in the back seat; hoodie up; fidgeting with his bag strap, Jaxton Willis (17) is in the back seat with a D&D binder in his lap | Objects: Jaxton’s phone receives multiple calls from Lucy; he silences/ignores them, Lucy is not physically present; she is contacting Jaxton by phone | Environmental conditions: Setting: Highway 56; dense fog; night drive implied by headlights | Other: Vehicle: an old Jeep, Jaxton and Lucy argued; Lucy is angry that he came tonight, It is Jaxton and Lucy’s anniversary, acknowledged by the group, The friends use sarcasm and D&D in-jokes to defuse unease, Lucas references previously 'disappearing' in sophomore year; the others 'waited' without pressing him, Lucas shares a brief, loaded smile with Maverick","Hours later. Highway 56. An OLD JEEP winds through dense fog, headlights brushing gnarled trees. Inside—warmth, friendship, nerves disguised as sarcasm.
MAVERICK THOMAS (18),backwards cap, drives. Swagger that fills the room and frays at the seams.
HOLLY STANTON (18), eyeliner and combat boots, leans into the passenger door. Warm. Eyes shadowed by something she can’t shake.
In the back, LUCAS BOSSE (17), hoodie high, fidgets with his bag strap. An artist’s stillness masking something unsettled.
-and JAXTON WILLIS (17), messy haired, D&D binder in his lap, stares ahead. A smile that hides something frayed at the edges.
His phone BUZZES: LUCY CALLING. He silences it. The others notice.
HOLLY
Not picking up?
JAXTON
We argued. She’s pissed I came here tonight.
LUCAS
Anniversary?
Jaxton nods once. The weight drops. They all know.
HOLLY
You don’t have to say it. We know what today is.
MAVERICK
(gentler now)
Lucy just wants you with her. Like she’s always had to be with you.
Jaxton says nothing. Stares ahead, guilt creeping in. The phone buzzes again. He kills the screen.
LUCAS
Ten bucks says this place reeks like mold and expired weed.
MAVERICK
Wrong. It’ll smell like Jaxton after a six-hour boss fight.

JAXTON
I showered. That’s emotional sweat you remember.
HOLLY
Because you traumatize us. Sentient pumpkins? Ooze orgies?
LUCAS
I still have nightmares about that cube.
JAXTON
You married it.
LUCAS
It was charming.
MAVERICK
Just your type.
They laugh. The tension eases, but the shadow of the day lingers.
HOLLY
I’m gonna miss this. Even your meta-gaming, Jaxton.
JAXTON
Settle for no mid-battle tears.
LUCAS
That’s a gamble.
(beat)
Sophomore year, when I kept disappearing. You all waited. No one asked. Just... waited.
HOLLY
You’re our bard, Lucas.
MAVERICK
Also the reason I drink hibiscus tea and know Bowie’s B-sides.
Lucas smiles at Maverick. Brief. Loaded."
6,They reach lodge and unload gear,"the group's arrival at the derelict Red Hollow lodge and their committed, upbeat resolve to begin their final “quest” there despite the unusual setting.","Objects: They unload gaming gear, LED flashlights, and a 12-pack of beer, Holly has a flask | Environmental conditions: Red Hollow lodge is described as rotting/skeletal/crooked/massive with fog around the wheels | Other: Characters present: Jaxton, Maverick, Holly, Lucas, They arrive in a jeep that stops on gravel outside Red Hollow lodge, Maverick mentions beers and mushrooms as part of the night, Jaxton expresses guilt briefly, then forces a grin and frames the night as their last quest with “NAT 20s”, They move toward/onto the lodge steps and share a quiet smile before going in","They turn off the highway and crest the final rise. The lodge stands, rotting, skeletal, watching.
JAXTON
Can’t believe we actually have permission to stream here.
(beat)
We do have permission, right?
MAVERICK
Too late. I’m ready to punch a ghost.
HOLLY
This is for you, Jax. The best DM I’ve ever had.
LUCAS
Let’s make tonight count.
The JEEP rolls to a stop. Gravel crunches beneath the tires. Fog coils around the wheels like breath. RED HOLLOW, looms ahead, crooked, massive, waiting.
MAVERICK
(sarcastic)
Yup. Totally normal Friday night. Drive to a murder scene, unpack emotional trauma, roll initiative. At least we’re going out strong, beers and mushrooms.
HOLLY
(pulling a flask)
And if anyone grows a spine, a real drink.
They climb out of the jeep. Begin unloading: gaming gear, LED flashlights, a 12-pack of beer.
A beat. Shared silence. Jaxton looks at them, guilt flickering, then forces a grin.
JAXTON
If this is our last quest, we’re going out rolling NAT 20s.
Lucas grins, follows his friends up the steps.
LUCAS
This place has main character death energy.
JAXTON
It’s perfect.
They all share a quiet smile."
7,Maverick urges Holly to tell Jax,"Maverick presses Holly to admit her feelings to Jax before they go inside, ing her impending departure as the reason she must speak up now.","Location: exterior veranda of Red Hallow Lodge, below the steps, same time | Other: Maverick and Holly are together and lingering below the steps, Maverick says he is ""feeling off""; Holly jokes it is ""the asbestos"", Maverick urges Holly to tell Jax how she feels and states she has had a crush on him since day one, Holly states Jax is staying and she is not, Maverick says he is ""full of secrets"" but that tonight is not about him, Maverick and Holly walk up the steps and join Jaxton (Jax) and Lucas; the four stand together in a quiet moment","EXT. RED HALLOW LODGE – VERANDA – SAME TIME Maverick and Holly linger below the steps.
HOLLY You okay?
MAVERICK Just feeling off.
HOLLY
That’s just the asbestos.
She nudges him. No smile back.
MAVERICK (low)
Before we go in...
HOLLY Yeah?
MAVERICK
You need to tell Jax how you feel.
HOLLY (stiffens)
What?
MAVERICK
Don’t pretend. You’ve crushed on
him since day one. Fence climb check.
HOLLY
I fell three times.
MAVERICK
And he still made you the hero.
That’s love, right?
HOLLY
Doesn’t matter. He’s staying. I’m
A beat.
not.
Exactly why you have to tell him.
MAVERICK
14.
MAVERICK (CONT’D) You only get this kind of
connection once. She stares at him.
HOLLY What about you?
MAVERICK (small smile)
I’m full of secrets. But tonight’s not mine.
They head up the steps, joining Jaxton and Lucas. The four stand together. A quiet moment."
8,Crew enters and meets Wesley,"Wesley and Kelly already inside the house and frame the night as an unfiltered, real-time livestreamed D&D session in a “murder house,” introducing Kelly's role and unsettling appearance to the group.","Location: INT. FOYER – REALITY - NIGHT inside a dark, damp house with mold/rot and a faint metallic smell; staircase visible | Objects: The group enters through the front door as it groans open, Wesley is already inside, adjusting a shoulder rig and checking angles, Kelly is with Wesley, calibrating microphones and adjusting a gain dial | Other: Jaxton recognizes Wesley (“Wesley Wise”); Wesley recognizes Jaxton as a top mod, Wesley states he is streaming everything in real time: D&D session, in a murder house, with no filters and no take-backs, Holly reacts to the house vibe (“Blair Witch”); Lucas questions the streaming/gear, Wesley introduces Kelly as on her first gig with him and labels her a ghost hunter for extra clicks, Kelly explicitly says: “I’m here to listen.”, The group exchanges awkward glances and is unsure who Kelly is until Wesley explains","INT. FOYER – REALITY - NIGHT
The front door GROANS open. The group steps into the dark.
Air thick. Damp. Heavy. Mold, rot, and something faintly metallic cling to the walls. The staircase climbing upward like a broken spine.
WESLEY is already inside, adjusting his shoulder rig, checking angles. KELLY moves methodically behind him, calibrating mics. She lingers on every shadow like it’s alive.
JAXTON (grinning)
Dude. Wesley Wise. In the flesh.
WESLEY
Top mod Jaxton, right? Appreciate
you pulling this crew together.
JAXTON
Appreciate the invite. This place
is insane.
LUCAS (eyeing the gear)
You’re really streaming this?
WESLEY
All of it. D&D. Real time. In a
murder house. No filters. No take- backs.
15.
HOLLY (sweeping her light)
You didn’t say it was full on Blair Witch.
JAXTON
You said you were bored.
HOLLY
Yeah. I pictured gym mats and bad
pizza. Not haunted insulation. Kelly adjusts a gain dial, monotone.
KELLY
It’s mostly structurally sound.
Awkward glances. The kids exchange looks, unsure who she is.
HOLLY
(to Wesley, nodding toward
Kelly) And she is...?
WESLEY
Kelly. First gig with me. Ghost
hunter. Extra clicks for the stream.
KELLY (flat)
I’m here to listen.
LUCAS
(to Jaxton, low)
She’s got the same vibe as the house.
JAXTON Not by acciden"
9,They share mushroom chocolate bar,"The group collectively takes mushroom chocolate, re-ing their shared “toast” vibe while Kelly explicitly opts out.","Other: Maverick produces a foil-wrapped mushroom chocolate bar, Maverick refers to it as a “Druidic offering” before a “toast”, Lucas frames it as like their old sessions and “nostalgic chaos”, Maverick and Lucas each take a piece of the bar, Holly offers a piece to Kelly, calling her “ghost whisperer”, Kelly shakes her head and declines, saying “No need”","Maverick pulls out a foil-wrapped mushroom chocolate bar.
MAVERICK
Druidic offering before the ritual?
LUCAS
Like the old sessions. Nostalgic
chaos.
They each take a piece.
16.
HOLLY (to Kelly)
You want one, ghost whisperer?
KELLY (shaking her head)
No need"
